,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
0,0.507,0.804,11,-13.267,1,0.044,0.0211,0.00248,0.381,0.708,157.996,audio_features,01R0Xdwje645C6xFCnMRvm,spotify:track:01R0Xdwje645C6xFCnMRvm,https://api.spotify.com/v1/tracks/01R0Xdwje645C6xFCnMRvm,https://api.spotify.com/v1/audio-analysis/01R0Xdwje645C6xFCnMRvm,223960,4,rock
1,0.643,0.711,9,-7.54,0,0.0374,0.00122,0.0499,0.117,0.587,105.01,audio_features,03S1E7nJqu4b6b5hGXrVbu,spotify:track:03S1E7nJqu4b6b5hGXrVbu,https://api.spotify.com/v1/tracks/03S1E7nJqu4b6b5hGXrVbu,https://api.spotify.com/v1/audio-analysis/03S1E7nJqu4b6b5hGXrVbu,223333,4,rock
2,0.472,0.366,11,-12.595,0,0.0286,0.15,0.308,0.0837,0.171,127.167,audio_features,082cLCIXNPg2ruTrENz4Vt,spotify:track:082cLCIXNPg2ruTrENz4Vt,https://api.spotify.com/v1/tracks/082cLCIXNPg2ruTrENz4Vt,https://api.spotify.com/v1/audio-analysis/082cLCIXNPg2ruTrENz4Vt,382297,4,rock
3,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,audio_features,08mG3Y1vljYA6bvDt4Wqkj,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,https://api.spotify.com/v1/tracks/08mG3Y1vljYA6bvDt4Wqkj,https://api.spotify.com/v1/audio-analysis/08mG3Y1vljYA6bvDt4Wqkj,255493,4,rock
4,0.35,0.985,10,-5.676,0,0.122,0.00876,0.551,0.36,0.323,151.007,audio_features,09PTdECef2Uxix7ma0HCxs,spotify:track:09PTdECef2Uxix7ma0HCxs,https://api.spotify.com/v1/tracks/09PTdECef2Uxix7ma0HCxs,https://api.spotify.com/v1/audio-analysis/09PTdECef2Uxix7ma0HCxs,343640,4,rock
5,0.452,0.694,4,-5.266,1,0.044,0.00966,0.000334,0.357,0.385,126.22,audio_features,0B6Xcr7eu0nsGOiXuLI5NH,spotify:track:0B6Xcr7eu0nsGOiXuLI5NH,https://api.spotify.com/v1/tracks/0B6Xcr7eu0nsGOiXuLI5NH,https://api.spotify.com/v1/audio-analysis/0B6Xcr7eu0nsGOiXuLI5NH,233916,3,rock
6,0.738,0.821,5,-5.835,1,0.0338,0.0724,1.24e-05,0.079,0.949,118.752,audio_features,0BuhyFIoYROQCptB6bXsYR,spotify:track:0BuhyFIoYROQCptB6bXsYR,https://api.spotify.com/v1/tracks/0BuhyFIoYROQCptB6bXsYR,https://api.spotify.com/v1/audio-analysis/0BuhyFIoYROQCptB6bXsYR,232853,4,rock
7,0.658,0.675,9,-10.967,1,0.242,0.604,0.0,0.0428,0.587,115.574,audio_features,0DQtwZLpvln583U1WWv6To,spotify:track:0DQtwZLpvln583U1WWv6To,https://api.spotify.com/v1/tracks/0DQtwZLpvln583U1WWv6To,https://api.spotify.com/v1/audio-analysis/0DQtwZLpvln583U1WWv6To,377760,4,rock
8,0.57,0.866,2,-6.106,0,0.0281,9.87e-05,0.000355,0.144,0.358,98.551,audio_features,0FxRbTtlo8AutEbifokqGf,spotify:track:0FxRbTtlo8AutEbifokqGf,https://api.spotify.com/v1/tracks/0FxRbTtlo8AutEbifokqGf,https://api.spotify.com/v1/audio-analysis/0FxRbTtlo8AutEbifokqGf,217333,4,rock
9,0.557,0.919,11,-5.602,0,0.0751,0.000867,0.000948,0.0394,0.804,108.524,audio_features,0JFc1TPOJtdrjytTMQa5Yh,spotify:track:0JFc1TPOJtdrjytTMQa5Yh,https://api.spotify.com/v1/tracks/0JFc1TPOJtdrjytTMQa5Yh,https://api.spotify.com/v1/audio-analysis/0JFc1TPOJtdrjytTMQa5Yh,241973,4,rock
10,0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,audio_features,0Jci9dBlCSDgL5ivMMSAQx,spotify:track:0Jci9dBlCSDgL5ivMMSAQx,https://api.spotify.com/v1/tracks/0Jci9dBlCSDgL5ivMMSAQx,https://api.spotify.com/v1/audio-analysis/0Jci9dBlCSDgL5ivMMSAQx,160133,4,rock
11,0.288,0.967,2,-3.703,1,0.0924,5.34e-06,6.7e-06,0.178,0.159,154.992,audio_features,0NJA5aZhix2ckztbwh9EZT,spotify:track:0NJA5aZhix2ckztbwh9EZT,https://api.spotify.com/v1/tracks/0NJA5aZhix2ckztbwh9EZT,https://api.spotify.com/v1/audio-analysis/0NJA5aZhix2ckztbwh9EZT,235800,4,rock
12,0.432,0.848,4,-8.095,0,0.0878,0.274,0.0344,0.233,0.743,81.201,audio_features,0NSeXLBOh16zjbENkAu0P6,spotify:track:0NSeXLBOh16zjbENkAu0P6,https://api.spotify.com/v1/tracks/0NSeXLBOh16zjbENkAu0P6,https://api.spotify.com/v1/audio-analysis/0NSeXLBOh16zjbENkAu0P6,294000,4,rock
13,0.347,0.93,10,-3.477,0,0.063,0.000141,0.000332,0.059,0.375,162.057,audio_features,0NgtsllfAuvDGUts5g8EKT,spotify:track:0NgtsllfAuvDGUts5g8EKT,https://api.spotify.com/v1/tracks/0NgtsllfAuvDGUts5g8EKT,https://api.spotify.com/v1/audio-analysis/0NgtsllfAuvDGUts5g8EKT,274445,4,rock
14,0.63,0.788,5,-6.7,1,0.0298,0.00322,0.0237,0.0883,0.63,120.059,audio_features,0OBwxFLu6Yj61s2OagYbgY,spotify:track:0OBwxFLu6Yj61s2OagYbgY,https://api.spotify.com/v1/tracks/0OBwxFLu6Yj61s2OagYbgY,https://api.spotify.com/v1/audio-analysis/0OBwxFLu6Yj61s2OagYbgY,241080,4,rock
15,0.358,0.48,9,-11.79,1,0.0849,0.521,0.00428,0.178,0.356,120.317,audio_features,0OOc4CWq6Cg8fTFE1vCvwS,spotify:track:0OOc4CWq6Cg8fTFE1vCvwS,https://api.spotify.com/v1/tracks/0OOc4CWq6Cg8fTFE1vCvwS,https://api.spotify.com/v1/audio-analysis/0OOc4CWq6Cg8fTFE1vCvwS,413947,4,rock
16,0.552,0.66,5,-7.131,1,0.0321,0.0191,0.00153,0.168,0.579,150.037,audio_features,0QQJuiBB75tDJDsBnVKYnH,spotify:track:0QQJuiBB75tDJDsBnVKYnH,https://api.spotify.com/v1/tracks/0QQJuiBB75tDJDsBnVKYnH,https://api.spotify.com/v1/audio-analysis/0QQJuiBB75tDJDsBnVKYnH,241326,4,rock
17,0.712,0.953,1,-4.951,1,0.106,0.00232,4.91e-06,0.176,0.552,102.495,audio_features,0QlvzPsVzBJBQmO5roImhq,spotify:track:0QlvzPsVzBJBQmO5roImhq,https://api.spotify.com/v1/tracks/0QlvzPsVzBJBQmO5roImhq,https://api.spotify.com/v1/audio-analysis/0QlvzPsVzBJBQmO5roImhq,217385,4,rock
18,0.282,0.656,8,-6.557,1,0.0302,0.0105,0.0,0.0892,0.242,139.352,audio_features,0S3gpZzlT9Hb7CCSV2owX7,spotify:track:0S3gpZzlT9Hb7CCSV2owX7,https://api.spotify.com/v1/tracks/0S3gpZzlT9Hb7CCSV2owX7,https://api.spotify.com/v1/audio-analysis/0S3gpZzlT9Hb7CCSV2owX7,251867,4,rock
19,0.628,0.934,11,-6.026,1,0.0527,0.00682,1.11e-05,0.0852,0.491,126.538,audio_features,0SFS1LxNP5wgnoDA7nGKQu,spotify:track:0SFS1LxNP5wgnoDA7nGKQu,https://api.spotify.com/v1/tracks/0SFS1LxNP5wgnoDA7nGKQu,https://api.spotify.com/v1/audio-analysis/0SFS1LxNP5wgnoDA7nGKQu,265893,4,rock
20,0.549,0.721,9,-6.112,0,0.0525,0.0407,0.0,0.133,0.201,92.011,audio_features,0SNXBysmYhDItZv0o7lMo4,spotify:track:0SNXBysmYhDItZv0o7lMo4,https://api.spotify.com/v1/tracks/0SNXBysmYhDItZv0o7lMo4,https://api.spotify.com/v1/audio-analysis/0SNXBysmYhDItZv0o7lMo4,238154,4,rock
21,0.549,0.916,4,-4.185,0,0.034,0.0049,0.123,0.104,0.632,127.131,audio_features,0SvfyHYDp2uIsHt53LDlI9,spotify:track:0SvfyHYDp2uIsHt53LDlI9,https://api.spotify.com/v1/tracks/0SvfyHYDp2uIsHt53LDlI9,https://api.spotify.com/v1/audio-analysis/0SvfyHYDp2uIsHt53LDlI9,219400,4,rock
22,0.694,0.739,2,-4.082,1,0.0378,0.175,3.93e-06,0.141,0.408,111.943,audio_features,0UDWsKlQFNj0O3aFEdFvjH,spotify:track:0UDWsKlQFNj0O3aFEdFvjH,https://api.spotify.com/v1/tracks/0UDWsKlQFNj0O3aFEdFvjH,https://api.spotify.com/v1/audio-analysis/0UDWsKlQFNj0O3aFEdFvjH,296312,4,rock
23,0.427,0.64,8,-11.846,1,0.0381,0.0317,0.00498,0.0882,0.745,126.794,audio_features,0Y2syr7jPC5v8tTvZIUEQZ,spotify:track:0Y2syr7jPC5v8tTvZIUEQZ,https://api.spotify.com/v1/tracks/0Y2syr7jPC5v8tTvZIUEQZ,https://api.spotify.com/v1/audio-analysis/0Y2syr7jPC5v8tTvZIUEQZ,219373,4,rock
24,0.583,0.375,7,-13.685,1,0.0288,0.757,3.27e-05,0.152,0.376,95.991,audio_features,0Z5Mw2KAMIY1VCY62veecM,spotify:track:0Z5Mw2KAMIY1VCY62veecM,https://api.spotify.com/v1/tracks/0Z5Mw2KAMIY1VCY62veecM,https://api.spotify.com/v1/audio-analysis/0Z5Mw2KAMIY1VCY62veecM,229070,4,rock
25,0.447,0.425,1,-8.749,1,0.0326,0.0308,0.00363,0.103,0.235,138.081,audio_features,0ZksEd0ZvluiqJnw0qJlqr,spotify:track:0ZksEd0ZvluiqJnw0qJlqr,https://api.spotify.com/v1/tracks/0ZksEd0ZvluiqJnw0qJlqr,https://api.spotify.com/v1/audio-analysis/0ZksEd0ZvluiqJnw0qJlqr,237000,4,rock
26,0.763,0.592,4,-9.746,1,0.032,0.0182,0.736,0.107,0.921,120.02,audio_features,0bFpXUYl7CxHnzjJV3dOq9,spotify:track:0bFpXUYl7CxHnzjJV3dOq9,https://api.spotify.com/v1/tracks/0bFpXUYl7CxHnzjJV3dOq9,https://api.spotify.com/v1/audio-analysis/0bFpXUYl7CxHnzjJV3dOq9,284665,4,rock
27,0.716,0.462,11,-9.312,0,0.0559,0.00468,0.539,0.135,0.602,129.841,audio_features,0bPvDZXAQ4Tsdg2ULFIpG0,spotify:track:0bPvDZXAQ4Tsdg2ULFIpG0,https://api.spotify.com/v1/tracks/0bPvDZXAQ4Tsdg2ULFIpG0,https://api.spotify.com/v1/audio-analysis/0bPvDZXAQ4Tsdg2ULFIpG0,180160,4,rock
28,0.697,0.568,2,-7.093,1,0.0392,0.259,0.0,0.197,0.758,110.985,audio_features,0bnglrGJNYoLITf54En77H,spotify:track:0bnglrGJNYoLITf54En77H,https://api.spotify.com/v1/tracks/0bnglrGJNYoLITf54En77H,https://api.spotify.com/v1/audio-analysis/0bnglrGJNYoLITf54En77H,222903,4,rock
29,0.415,0.631,6,-10.278,1,0.0344,3.62e-05,1.17e-05,0.242,0.597,155.005,audio_features,0ce6jXxq01eZUmARR1Rcol,spotify:track:0ce6jXxq01eZUmARR1Rcol,https://api.spotify.com/v1/tracks/0ce6jXxq01eZUmARR1Rcol,https://api.spotify.com/v1/audio-analysis/0ce6jXxq01eZUmARR1Rcol,240460,4,rock
30,0.659,0.436,2,-9.441,1,0.0513,0.216,0.00191,0.064,0.352,139.951,audio_features,0d1ZZw6gP3koov69lrmnvM,spotify:track:0d1ZZw6gP3koov69lrmnvM,https://api.spotify.com/v1/tracks/0d1ZZw6gP3koov69lrmnvM,https://api.spotify.com/v1/audio-analysis/0d1ZZw6gP3koov69lrmnvM,215423,4,rock
31,0.48,0.701,2,-5.848,1,0.0413,0.04,0.0,0.0925,0.565,118.401,audio_features,0frNLTWAyRdXMfw3hIm5JF,spotify:track:0frNLTWAyRdXMfw3hIm5JF,https://api.spotify.com/v1/tracks/0frNLTWAyRdXMfw3hIm5JF,https://api.spotify.com/v1/audio-analysis/0frNLTWAyRdXMfw3hIm5JF,237093,4,rock
