danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
0.414,0.112,5,-26.827,1,0.043,0.99,0.884,0.0706,0.661,152.608,audio_features,02Gg16pymdKDlCsO1F3LsE,spotify:track:02Gg16pymdKDlCsO1F3LsE,https://api.spotify.com/v1/tracks/02Gg16pymdKDlCsO1F3LsE,https://api.spotify.com/v1/audio-analysis/02Gg16pymdKDlCsO1F3LsE,239030,4,classical
0.249,0.316,1,-14.587,1,0.0368,0.792,0.963,0.294,0.32,153.897,audio_features,05XPxcgHp4I4CFlOhMnskS,spotify:track:05XPxcgHp4I4CFlOhMnskS,https://api.spotify.com/v1/tracks/05XPxcgHp4I4CFlOhMnskS,https://api.spotify.com/v1/audio-analysis/05XPxcgHp4I4CFlOhMnskS,229777,4,classical
0.533,0.0516,7,-25.902,1,0.0699,0.995,0.954,0.134,0.96,144.879,audio_features,08EFMTvFXuGG56CB7pzqGM,spotify:track:08EFMTvFXuGG56CB7pzqGM,https://api.spotify.com/v1/tracks/08EFMTvFXuGG56CB7pzqGM,https://api.spotify.com/v1/audio-analysis/08EFMTvFXuGG56CB7pzqGM,86475,3,classical
0.51,0.129,5,-18.155,0,0.0567,0.993,0.819,0.112,0.342,111.755,audio_features,0AM2Dqo8oDAFMthM9FcsNU,spotify:track:0AM2Dqo8oDAFMthM9FcsNU,https://api.spotify.com/v1/tracks/0AM2Dqo8oDAFMthM9FcsNU,https://api.spotify.com/v1/audio-analysis/0AM2Dqo8oDAFMthM9FcsNU,126520,4,classical
0.245,0.234,4,-17.484,1,0.0702,0.889,0.917,0.34,0.246,186.24,audio_features,0BbQDhTyS6D8ON5ryB8U5A,spotify:track:0BbQDhTyS6D8ON5ryB8U5A,https://api.spotify.com/v1/tracks/0BbQDhTyS6D8ON5ryB8U5A,https://api.spotify.com/v1/audio-analysis/0BbQDhTyS6D8ON5ryB8U5A,556985,3,classical
0.6,0.0883,0,-26.769,1,0.0548,0.916,0.926,0.155,0.568,124.042,audio_features,0BzAFOLddTM2ID5O7fbifa,spotify:track:0BzAFOLddTM2ID5O7fbifa,https://api.spotify.com/v1/tracks/0BzAFOLddTM2ID5O7fbifa,https://api.spotify.com/v1/audio-analysis/0BzAFOLddTM2ID5O7fbifa,100867,4,classical
0.469,0.0677,0,-25.013,1,0.0424,0.992,0.844,0.115,0.464,80.41,audio_features,0CU9oRq6jUw5WE0fN7Epdn,spotify:track:0CU9oRq6jUw5WE0fN7Epdn,https://api.spotify.com/v1/tracks/0CU9oRq6jUw5WE0fN7Epdn,https://api.spotify.com/v1/audio-analysis/0CU9oRq6jUw5WE0fN7Epdn,252660,4,classical
0.409,0.0378,0,-23.108,1,0.0715,0.994,0.923,0.102,0.112,107.051,audio_features,0DVSU4lJR60QYKBk87E6P9,spotify:track:0DVSU4lJR60QYKBk87E6P9,https://api.spotify.com/v1/tracks/0DVSU4lJR60QYKBk87E6P9,https://api.spotify.com/v1/audio-analysis/0DVSU4lJR60QYKBk87E6P9,477653,4,classical
0.228,0.163,2,-19.183,1,0.0449,0.973,0.388,0.134,0.0604,89.979,audio_features,0FEPld3DMAphnS5YU8Km1W,spotify:track:0FEPld3DMAphnS5YU8Km1W,https://api.spotify.com/v1/tracks/0FEPld3DMAphnS5YU8Km1W,https://api.spotify.com/v1/audio-analysis/0FEPld3DMAphnS5YU8Km1W,1464307,4,classical
0.267,0.0984,2,-20.6,1,0.035,0.962,0.848,0.162,0.356,151.754,audio_features,0IsapQqPQLlIvmYf1lgZnm,spotify:track:0IsapQqPQLlIvmYf1lgZnm,https://api.spotify.com/v1/tracks/0IsapQqPQLlIvmYf1lgZnm,https://api.spotify.com/v1/audio-analysis/0IsapQqPQLlIvmYf1lgZnm,238933,4,classical
0.286,0.21,8,-20.508,1,0.0402,0.994,0.928,0.18,0.702,172.997,audio_features,0Iv3GTLogDJsjygeLrgcYY,spotify:track:0Iv3GTLogDJsjygeLrgcYY,https://api.spotify.com/v1/tracks/0Iv3GTLogDJsjygeLrgcYY,https://api.spotify.com/v1/audio-analysis/0Iv3GTLogDJsjygeLrgcYY,216333,4,classical
0.584,0.329,10,-14.834,0,0.0417,0.555,0.0654,0.0836,0.617,116.474,audio_features,0J0kgUHdei9xvc59VFqrMZ,spotify:track:0J0kgUHdei9xvc59VFqrMZ,https://api.spotify.com/v1/tracks/0J0kgUHdei9xvc59VFqrMZ,https://api.spotify.com/v1/audio-analysis/0J0kgUHdei9xvc59VFqrMZ,163733,4,classical
0.324,0.572,5,-10.592,1,0.0387,0.807,0.79,0.162,0.326,104.726,audio_features,0LOrCAgSRmEPMgWT6QnSc9,spotify:track:0LOrCAgSRmEPMgWT6QnSc9,https://api.spotify.com/v1/tracks/0LOrCAgSRmEPMgWT6QnSc9,https://api.spotify.com/v1/audio-analysis/0LOrCAgSRmEPMgWT6QnSc9,292960,3,classical
0.605,0.235,10,-12.088,1,0.0341,0.954,0.696,0.0852,0.634,106.644,audio_features,0LtbZqCkTfkYyIMnsKCJOp,spotify:track:0LtbZqCkTfkYyIMnsKCJOp,https://api.spotify.com/v1/tracks/0LtbZqCkTfkYyIMnsKCJOp,https://api.spotify.com/v1/audio-analysis/0LtbZqCkTfkYyIMnsKCJOp,67573,4,classical
