danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
0.65,0.796,4,-5.303,0,0.0414,0.0104,0.000385,0.467,0.638,127.99,audio_features,03oK265y87YNXHIQSOAWOp,spotify:track:03oK265y87YNXHIQSOAWOp,https://api.spotify.com/v1/tracks/03oK265y87YNXHIQSOAWOp,https://api.spotify.com/v1/audio-analysis/03oK265y87YNXHIQSOAWOp,186320,4,electro
0.782,0.7,7,-6.397,1,0.209,0.161,0.004,0.0786,0.289,127.987,audio_features,03zNPmsnr0uaMRfvMSWeH1,spotify:track:03zNPmsnr0uaMRfvMSWeH1,https://api.spotify.com/v1/tracks/03zNPmsnr0uaMRfvMSWeH1,https://api.spotify.com/v1/audio-analysis/03zNPmsnr0uaMRfvMSWeH1,413457,4,electro
0.604,0.874,7,-4.949,0,0.0295,0.000563,0.812,0.112,0.835,125.99,audio_features,06T2VQf8n5kTtyDo8klTvX,spotify:track:06T2VQf8n5kTtyDo8klTvX,https://api.spotify.com/v1/tracks/06T2VQf8n5kTtyDo8klTvX,https://api.spotify.com/v1/audio-analysis/06T2VQf8n5kTtyDo8klTvX,157432,4,electro
0.605,0.8,5,-6.235,0,0.0545,0.155,0.0562,0.121,0.836,128.074,audio_features,06h3McKzmxS8Bx58USHiMq,spotify:track:06h3McKzmxS8Bx58USHiMq,https://api.spotify.com/v1/tracks/06h3McKzmxS8Bx58USHiMq,https://api.spotify.com/v1/audio-analysis/06h3McKzmxS8Bx58USHiMq,211880,4,electro
0.631,0.945,0,-3.674,1,0.04,0.0287,0.913,0.967,0.4,127.983,audio_features,07BCFbk1oCwf80lemfyzK6,spotify:track:07BCFbk1oCwf80lemfyzK6,https://api.spotify.com/v1/tracks/07BCFbk1oCwf80lemfyzK6,https://api.spotify.com/v1/audio-analysis/07BCFbk1oCwf80lemfyzK6,291960,4,electro
0.661,0.885,7,-4.213,0,0.0691,0.00655,0.855,0.1,0.228,127.936,audio_features,092dz2yORKaJpC05ZlN9ME,spotify:track:092dz2yORKaJpC05ZlN9ME,https://api.spotify.com/v1/tracks/092dz2yORKaJpC05ZlN9ME,https://api.spotify.com/v1/audio-analysis/092dz2yORKaJpC05ZlN9ME,298125,4,electro
0.496,0.789,1,-3.648,1,0.0839,0.183,0.0,0.34,0.286,127.961,audio_features,0A1y3d5O3SDvXaQ8snkmOf,spotify:track:0A1y3d5O3SDvXaQ8snkmOf,https://api.spotify.com/v1/tracks/0A1y3d5O3SDvXaQ8snkmOf,https://api.spotify.com/v1/audio-analysis/0A1y3d5O3SDvXaQ8snkmOf,210469,4,electro
0.665,0.853,0,-4.851,0,0.0331,0.055,0.00169,0.277,0.384,129.946,audio_features,0AQlQOvoFhRJLPC1KwbKB7,spotify:track:0AQlQOvoFhRJLPC1KwbKB7,https://api.spotify.com/v1/tracks/0AQlQOvoFhRJLPC1KwbKB7,https://api.spotify.com/v1/audio-analysis/0AQlQOvoFhRJLPC1KwbKB7,188467,4,electro
0.518,0.783,2,-4.88,1,0.0406,0.215,9.53e-06,0.14,0.152,125.985,audio_features,0AhRPDuVwHkLAACbPXidb3,spotify:track:0AhRPDuVwHkLAACbPXidb3,https://api.spotify.com/v1/tracks/0AhRPDuVwHkLAACbPXidb3,https://api.spotify.com/v1/audio-analysis/0AhRPDuVwHkLAACbPXidb3,214067,4,electro
0.675,0.496,1,-7.306,0,0.0293,0.000123,0.000426,0.854,0.319,128.106,audio_features,0BRcMSaH84i330e6JCyXgO,spotify:track:0BRcMSaH84i330e6JCyXgO,https://api.spotify.com/v1/tracks/0BRcMSaH84i330e6JCyXgO,https://api.spotify.com/v1/audio-analysis/0BRcMSaH84i330e6JCyXgO,189880,4,electro
0.571,0.828,7,-6.401,1,0.138,0.00019,0.0123,0.232,0.429,127.99,audio_features,0CHedWjXAJXJFIwUKgkqDg,spotify:track:0CHedWjXAJXJFIwUKgkqDg,https://api.spotify.com/v1/tracks/0CHedWjXAJXJFIwUKgkqDg,https://api.spotify.com/v1/audio-analysis/0CHedWjXAJXJFIwUKgkqDg,277507,4,electro
0.604,0.874,7,-4.949,0,0.0295,0.000563,0.812,0.112,0.835,125.99,audio_features,0F2BxpbxH8Yc3pLub48hrb,spotify:track:0F2BxpbxH8Yc3pLub48hrb,https://api.spotify.com/v1/tracks/0F2BxpbxH8Yc3pLub48hrb,https://api.spotify.com/v1/audio-analysis/0F2BxpbxH8Yc3pLub48hrb,157432,4,electro
0.868,0.596,2,-7.26,1,0.0516,0.00485,0.0375,0.105,0.556,126.036,audio_features,0GzyioxDQI8KgAQl44B8yn,spotify:track:0GzyioxDQI8KgAQl44B8yn,https://api.spotify.com/v1/tracks/0GzyioxDQI8KgAQl44B8yn,https://api.spotify.com/v1/audio-analysis/0GzyioxDQI8KgAQl44B8yn,529507,4,electro
0.748,0.866,9,-7.88,1,0.12,0.0401,0.0286,0.185,0.46,134.993,audio_features,0KQIOEpua70dHE43DhX2OY,spotify:track:0KQIOEpua70dHE43DhX2OY,https://api.spotify.com/v1/tracks/0KQIOEpua70dHE43DhX2OY,https://api.spotify.com/v1/audio-analysis/0KQIOEpua70dHE43DhX2OY,544000,4,electro
0.756,0.915,8,-6.094,1,0.0371,0.00405,0.000171,0.0371,0.741,124.97,audio_features,0No3vuSRm3n2lOx5ctyJcL,spotify:track:0No3vuSRm3n2lOx5ctyJcL,https://api.spotify.com/v1/tracks/0No3vuSRm3n2lOx5ctyJcL,https://api.spotify.com/v1/audio-analysis/0No3vuSRm3n2lOx5ctyJcL,233293,4,electro
0.582,0.883,4,-9.863,0,0.0569,6.43e-06,0.881,0.112,0.0394,135.02,audio_features,0PpeOLydGcC4oiX1UnWKoJ,spotify:track:0PpeOLydGcC4oiX1UnWKoJ,https://api.spotify.com/v1/tracks/0PpeOLydGcC4oiX1UnWKoJ,https://api.spotify.com/v1/audio-analysis/0PpeOLydGcC4oiX1UnWKoJ,407947,4,electro
0.682,0.93,11,-4.036,0,0.0846,0.000125,0.0123,0.0481,0.46,127.867,audio_features,0TBaFEx7WENZgqLXWErD0b,spotify:track:0TBaFEx7WENZgqLXWErD0b,https://api.spotify.com/v1/tracks/0TBaFEx7WENZgqLXWErD0b,https://api.spotify.com/v1/audio-analysis/0TBaFEx7WENZgqLXWErD0b,219947,4,electro
0.723,0.806,0,-4.989,1,0.0521,0.00666,0.876,0.276,0.539,124.976,audio_features,0VffaI2jwQknRrxpECYHsF,spotify:track:0VffaI2jwQknRrxpECYHsF,https://api.spotify.com/v1/tracks/0VffaI2jwQknRrxpECYHsF,https://api.spotify.com/v1/audio-analysis/0VffaI2jwQknRrxpECYHsF,410097,4,electro
0.569,0.795,10,-8.537,0,0.0638,0.0239,0.0491,0.0414,0.332,128.036,audio_features,0ZaW2N7eBooCkiOFDc3xmJ,spotify:track:0ZaW2N7eBooCkiOFDc3xmJ,https://api.spotify.com/v1/tracks/0ZaW2N7eBooCkiOFDc3xmJ,https://api.spotify.com/v1/audio-analysis/0ZaW2N7eBooCkiOFDc3xmJ,423000,4,electro
0.606,0.975,7,-3.865,1,0.0393,0.00152,0.497,0.0931,0.187,128.023,audio_features,0bOGPorRUxCdJtCodwQbU1,spotify:track:0bOGPorRUxCdJtCodwQbU1,https://api.spotify.com/v1/tracks/0bOGPorRUxCdJtCodwQbU1,https://api.spotify.com/v1/audio-analysis/0bOGPorRUxCdJtCodwQbU1,277500,4,electro
