danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
0.427,0.114,2,-22.546,0,0.0509,0.843,0.863,0.0966,0.114,60.484,audio_features,01HQIKjcODJCBRFoETqngE,spotify:track:01HQIKjcODJCBRFoETqngE,https://api.spotify.com/v1/tracks/01HQIKjcODJCBRFoETqngE,https://api.spotify.com/v1/audio-analysis/01HQIKjcODJCBRFoETqngE,282320,4,jazz
0.698,0.278,5,-15.425,1,0.0508,0.572,0.0233,0.105,0.77,81.079,audio_features,0488kXJ1YnLMrrM1ssJnev,spotify:track:0488kXJ1YnLMrrM1ssJnev,https://api.spotify.com/v1/tracks/0488kXJ1YnLMrrM1ssJnev,https://api.spotify.com/v1/audio-analysis/0488kXJ1YnLMrrM1ssJnev,385467,4,jazz
0.62,0.27,8,-10.294,1,0.0777,0.974,0.891,0.123,0.789,80.955,audio_features,06bPIc8B2Yo330rsRiPJmh,spotify:track:06bPIc8B2Yo330rsRiPJmh,https://api.spotify.com/v1/tracks/06bPIc8B2Yo330rsRiPJmh,https://api.spotify.com/v1/audio-analysis/06bPIc8B2Yo330rsRiPJmh,129675,4,jazz
0.889,0.545,9,-12.541,0,0.077,0.796,0.721,0.247,0.872,127.716,audio_features,08URSui7xZnMNZoGDiJ7LE,spotify:track:08URSui7xZnMNZoGDiJ7LE,https://api.spotify.com/v1/tracks/08URSui7xZnMNZoGDiJ7LE,https://api.spotify.com/v1/audio-analysis/08URSui7xZnMNZoGDiJ7LE,183524,4,jazz
0.677,0.198,1,-15.883,1,0.0384,0.823,0.134,0.0991,0.377,111.481,audio_features,09LiDGJYBF54rGsQqU8N8K,spotify:track:09LiDGJYBF54rGsQqU8N8K,https://api.spotify.com/v1/tracks/09LiDGJYBF54rGsQqU8N8K,https://api.spotify.com/v1/audio-analysis/09LiDGJYBF54rGsQqU8N8K,371440,4,jazz
0.356,0.324,7,-8.699,0,0.0289,0.704,0.0025,0.204,0.438,88.861,audio_features,09g9OlH3RDjbffMAnvBPgw,spotify:track:09g9OlH3RDjbffMAnvBPgw,https://api.spotify.com/v1/tracks/09g9OlH3RDjbffMAnvBPgw,https://api.spotify.com/v1/audio-analysis/09g9OlH3RDjbffMAnvBPgw,166133,4,jazz
0.443,0.0711,1,-20.146,1,0.0486,0.989,0.894,0.101,0.596,175.02,audio_features,0ADAFZE0bYIuaIyPNFl3LE,spotify:track:0ADAFZE0bYIuaIyPNFl3LE,https://api.spotify.com/v1/tracks/0ADAFZE0bYIuaIyPNFl3LE,https://api.spotify.com/v1/audio-analysis/0ADAFZE0bYIuaIyPNFl3LE,172293,4,jazz
0.34,0.0837,3,-12.072,1,0.042,0.985,0.761,0.0945,0.119,138.689,audio_features,0IffIW3eyCx9aZ36IqOu5o,spotify:track:0IffIW3eyCx9aZ36IqOu5o,https://api.spotify.com/v1/tracks/0IffIW3eyCx9aZ36IqOu5o,https://api.spotify.com/v1/audio-analysis/0IffIW3eyCx9aZ36IqOu5o,414240,3,jazz
0.38,0.164,7,-14.69,0,0.0452,0.985,0.955,0.125,0.0871,79.03,audio_features,0IxLWzmafWC5VTnpnvykJq,spotify:track:0IxLWzmafWC5VTnpnvykJq,https://api.spotify.com/v1/tracks/0IxLWzmafWC5VTnpnvykJq,https://api.spotify.com/v1/audio-analysis/0IxLWzmafWC5VTnpnvykJq,202640,4,jazz
0.655,0.432,5,-12.959,1,0.0615,0.993,0.931,0.695,0.847,121.144,audio_features,0Jj1fedg3oc7tGutC3uDL2,spotify:track:0Jj1fedg3oc7tGutC3uDL2,https://api.spotify.com/v1/tracks/0Jj1fedg3oc7tGutC3uDL2,https://api.spotify.com/v1/audio-analysis/0Jj1fedg3oc7tGutC3uDL2,195670,4,jazz
