danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
0.814,0.746,11,-4.426,1,0.239,0.167,0.00115,0.0631,0.526,93.405,audio_features,00twZviPonMhKWN60B3l0F,spotify:track:00twZviPonMhKWN60B3l0F,https://api.spotify.com/v1/tracks/00twZviPonMhKWN60B3l0F,https://api.spotify.com/v1/audio-analysis/00twZviPonMhKWN60B3l0F,267933,4,rap
0.795,0.6,2,-14.004,1,0.341,0.112,0.000171,0.111,0.633,101.78,audio_features,0301nLjG0ti26rx5ZmfqtP,spotify:track:0301nLjG0ti26rx5ZmfqtP,https://api.spotify.com/v1/tracks/0301nLjG0ti26rx5ZmfqtP,https://api.spotify.com/v1/audio-analysis/0301nLjG0ti26rx5ZmfqtP,250133,4,rap
0.514,0.686,5,-4.79,0,0.21,0.0509,0.0,0.404,0.408,174.283,audio_features,035FwGhBgvFW17hECXQ4OH,spotify:track:035FwGhBgvFW17hECXQ4OH,https://api.spotify.com/v1/tracks/035FwGhBgvFW17hECXQ4OH,https://api.spotify.com/v1/audio-analysis/035FwGhBgvFW17hECXQ4OH,192053,4,rap
0.556,0.485,4,-4.477,0,0.263,0.301,0.0,0.104,0.359,99.235,audio_features,03ei3y4ilLVo2iZCap6gtp,spotify:track:03ei3y4ilLVo2iZCap6gtp,https://api.spotify.com/v1/tracks/03ei3y4ilLVo2iZCap6gtp,https://api.spotify.com/v1/audio-analysis/03ei3y4ilLVo2iZCap6gtp,264400,4,rap
0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497,audio_features,03tqyYWC9Um2ZqU0ZN849H,spotify:track:03tqyYWC9Um2ZqU0ZN849H,https://api.spotify.com/v1/tracks/03tqyYWC9Um2ZqU0ZN849H,https://api.spotify.com/v1/audio-analysis/03tqyYWC9Um2ZqU0ZN849H,263773,4,rap
0.956,0.745,11,-4.753,0,0.12,0.206,0.0,0.0615,0.912,107.075,audio_features,04KTF78FFg8sOHC1BADqbY,spotify:track:04KTF78FFg8sOHC1BADqbY,https://api.spotify.com/v1/tracks/04KTF78FFg8sOHC1BADqbY,https://api.spotify.com/v1/audio-analysis/04KTF78FFg8sOHC1BADqbY,228240,4,rap
0.497,0.877,8,-3.803,1,0.346,0.115,0.0,0.422,0.529,83.119,audio_features,06KeINPEsbZe7d89UFbFzv,spotify:track:06KeINPEsbZe7d89UFbFzv,https://api.spotify.com/v1/tracks/06KeINPEsbZe7d89UFbFzv,https://api.spotify.com/v1/audio-analysis/06KeINPEsbZe7d89UFbFzv,156493,4,rap
0.915,0.656,7,-2.827,1,0.0716,0.00299,0.0,0.324,0.642,112.243,audio_features,06wOQGz4bGB7HETrIjpIep,spotify:track:06wOQGz4bGB7HETrIjpIep,https://api.spotify.com/v1/tracks/06wOQGz4bGB7HETrIjpIep,https://api.spotify.com/v1/audio-analysis/06wOQGz4bGB7HETrIjpIep,290227,4,rap
0.62,0.897,1,-5.924,1,0.237,0.0016,0.000169,0.713,0.356,90.15,audio_features,08EMGunAhP8KvUV3fhuqVV,spotify:track:08EMGunAhP8KvUV3fhuqVV,https://api.spotify.com/v1/tracks/08EMGunAhP8KvUV3fhuqVV,https://api.spotify.com/v1/audio-analysis/08EMGunAhP8KvUV3fhuqVV,224640,4,rap
0.525,0.7,8,-6.915,0,0.377,0.231,4.61e-05,0.38,0.608,94.167,audio_features,08jQ8KSyztbOXN3BsX5Z3p,spotify:track:08jQ8KSyztbOXN3BsX5Z3p,https://api.spotify.com/v1/tracks/08jQ8KSyztbOXN3BsX5Z3p,https://api.spotify.com/v1/audio-analysis/08jQ8KSyztbOXN3BsX5Z3p,236200,4,rap
0.945,0.701,8,-3.749,1,0.158,0.0872,3.32e-06,0.147,0.617,107.036,audio_features,08ti9NvrGlNdcuEp0RbkVa,spotify:track:08ti9NvrGlNdcuEp0RbkVa,https://api.spotify.com/v1/tracks/08ti9NvrGlNdcuEp0RbkVa,https://api.spotify.com/v1/audio-analysis/08ti9NvrGlNdcuEp0RbkVa,179560,4,rap
0.699,0.869,11,-4.263,0,0.238,0.0118,0.0,0.0982,0.616,93.612,audio_features,09wQdd0JQbkp9yKfRfwhjG,spotify:track:09wQdd0JQbkp9yKfRfwhjG,https://api.spotify.com/v1/tracks/09wQdd0JQbkp9yKfRfwhjG,https://api.spotify.com/v1/audio-analysis/09wQdd0JQbkp9yKfRfwhjG,228627,4,rap
0.759,0.825,8,-4.289,1,0.22,0.0923,0.00057,0.24,0.429,94.857,audio_features,0B2ZuTLZnWQ6gz8RlNwBu1,spotify:track:0B2ZuTLZnWQ6gz8RlNwBu1,https://api.spotify.com/v1/tracks/0B2ZuTLZnWQ6gz8RlNwBu1,https://api.spotify.com/v1/audio-analysis/0B2ZuTLZnWQ6gz8RlNwBu1,187280,4,rap
0.551,0.81,11,-4.365,1,0.0344,0.0155,0.0,0.169,0.332,73.464,audio_features,0CAJdthKDdRjB2h8YOguN6,spotify:track:0CAJdthKDdRjB2h8YOguN6,https://api.spotify.com/v1/tracks/0CAJdthKDdRjB2h8YOguN6,https://api.spotify.com/v1/audio-analysis/0CAJdthKDdRjB2h8YOguN6,274333,4,rap
0.866,0.454,0,-9.383,1,0.0414,0.0373,1.49e-06,0.275,0.368,99.985,audio_features,0CXVjQI9wsqaGeIARkkpYc,spotify:track:0CXVjQI9wsqaGeIARkkpYc,https://api.spotify.com/v1/tracks/0CXVjQI9wsqaGeIARkkpYc,https://api.spotify.com/v1/audio-analysis/0CXVjQI9wsqaGeIARkkpYc,247067,4,rap
